Date,AveragePrice,region
27-12-15,1.33,Albany
20-12-15,1.35,Albany
13-12-15,0.93,Albany
06-12-15,1.08,Albany
29-11-15,1.28,Albany
22-11-15,1.26,Albany
15-11-15,0.99,Albany
08-11-15,0.98,Albany
01-11-15,1.02,Albany
25-10-15,1.07,Albany
18-10-15,1.12,Albany
11-10-15,1.28,Albany
04-10-15,1.31,Albany
27-09-15,0.99,Albany
20-09-15,1.33,Albany
13-09-15,1.28,Albany
06-09-15,1.11,Albany
30-08-15,1.07,Albany
23-08-15,1.34,Albany
16-08-15,1.33,Albany
09-08-15,1.12,Albany
02-08-15,1.45,Albany
26-07-15,1.11,Albany
19-07-15,1.26,Albany
12-07-15,1.05,Albany
05-07-15,1.35,Albany
28-06-15,1.37,Albany
21-06-15,1.27,Albany
14-06-15,1.32,Albany
07-06-15,1.07,Albany
31-05-15,1.23,Albany
24-05-15,1.19,Albany
17-05-15,1.43,Albany
10-05-15,1.26,Albany
03-05-15,1.2,Albany
26-04-15,1.22,Albany
19-04-15,1.19,Albany
12-04-15,1.13,Albany
05-04-15,1.16,Albany
29-03-15,1.02,Albany
22-03-15,1.12,Albany
15-03-15,1.11,Albany
08-03-15,1.07,Albany
01-03-15,0.99,Albany
22-02-15,1.07,Albany
15-02-15,1.06,Albany
08-02-15,0.99,Albany
01-02-15,0.99,Albany
25-01-15,1.06,Albany
18-01-15,1.17,Albany
11-01-15,1.24,Albany
04-01-15,1.22,Albany
27-12-15,0.99,Atlanta
20-12-15,1.08,Atlanta
13-12-15,0.96,Atlanta
06-12-15,1.07,Atlanta
29-11-15,0.99,Atlanta
22-11-15,1,Atlanta
15-11-15,1.13,Atlanta
08-11-15,1.12,Atlanta
01-11-15,0.99,Atlanta
25-10-15,1.09,Atlanta
18-10-15,1.09,Atlanta
11-10-15,0.95,Atlanta
04-10-15,0.96,Atlanta
27-09-15,1.07,Atlanta
20-09-15,0.93,Atlanta
13-09-15,1.07,Atlanta
06-09-15,0.97,Atlanta
30-08-15,1.15,Atlanta
23-08-15,1.12,Atlanta
16-08-15,1.09,Atlanta
09-08-15,1.01,Atlanta
02-08-15,1.15,Atlanta
26-07-15,1.08,Atlanta
19-07-15,0.97,Atlanta
12-07-15,1.14,Atlanta
05-07-15,1.01,Atlanta
28-06-15,1.13,Atlanta
21-06-15,0.99,Atlanta
14-06-15,1.1,Atlanta
07-06-15,0.99,Atlanta
31-05-15,1.1,Atlanta
24-05-15,0.96,Atlanta
17-05-15,1.11,Atlanta
10-05-15,1.1,Atlanta
03-05-15,1,Atlanta
26-04-15,1.12,Atlanta
19-04-15,1.12,Atlanta
12-04-15,0.99,Atlanta
05-04-15,1.04,Atlanta
29-03-15,1.11,Atlanta
22-03-15,1,Atlanta
15-03-15,1.12,Atlanta
08-03-15,1.1,Atlanta
01-03-15,0.99,Atlanta
22-02-15,1.1,Atlanta
15-02-15,1.06,Atlanta
08-02-15,1.03,Atlanta
01-02-15,0.96,Atlanta
25-01-15,1.1,Atlanta
18-01-15,1.11,Atlanta
11-01-15,1.11,Atlanta
04-01-15,1,Atlanta
27-12-15,1.17,BaltimoreWashington
20-12-15,1.11,BaltimoreWashington
13-12-15,1.15,BaltimoreWashington
06-12-15,1.04,BaltimoreWashington
29-11-15,1.16,BaltimoreWashington
22-11-15,1.12,BaltimoreWashington
15-11-15,1.04,BaltimoreWashington
08-11-15,1.05,BaltimoreWashington
01-11-15,1.12,BaltimoreWashington
25-10-15,1.19,BaltimoreWashington
18-10-15,0.99,BaltimoreWashington
11-10-15,1.24,BaltimoreWashington
04-10-15,1.28,BaltimoreWashington
27-09-15,1.19,BaltimoreWashington
20-09-15,1.17,BaltimoreWashington
